metatranscriptome;mgm4750048.3
shotgun metagenome;mgm4667096.3
amplicon metagenome;mgm4602362.3
amplicon metagenome;mgm4602317.3
amplicon metagenome;mgm4585252.3
shotgun metagenome;mgm4570256.3
shotgun metagenome;mgm4570240.3
amplicon metagenome;mgm4547670.3
shotgun metagenome;mgm4547383.3
shotgun metagenome;mgm4547364.3
metatranscriptome;mgm4529396.3
shotgun metagenome;mgm4525668.3
amplicon metagenome;mgm4525647.3
amplicon metagenome;mgm4525637.3
amplicon metagenome;mgm4525631.3
amplicon metagenome;mgm4525617.3
shotgun metagenome;mgm4525612.3
shotgun metagenome;mgm4525608.3
shotgun metagenome;mgm4525610.3
amplicon metagenome;mgm4525607.3
shotgun metagenome;mgm4525596.3
amplicon metagenome;mgm4525589.3
amplicon metagenome;mgm4525583.3
shotgun metagenome;mgm4525580.3
shotgun metagenome;mgm4525558.3
shotgun metagenome;mgm4525554.3
shotgun metagenome;mgm4525544.3
amplicon metagenome;mgm4525527.3
shotgun metagenome;mgm4525524.3
shotgun metagenome;mgm4517907.3
amplicon metagenome;mgm4517902.3
shotgun metagenome;mgm4517899.3
amplicon metagenome;mgm4514825.3
amplicon metagenome;mgm4514822.3
amplicon metagenome;mgm4514800.3
amplicon metagenome;mgm4514794.3
amplicon metagenome;mgm4514788.3
amplicon metagenome;mgm4514747.3
amplicon metagenome;mgm4514736.3
amplicon metagenome;mgm4514733.3
amplicon metagenome;mgm4514735.3
shotgun metagenome;mgm4501158.3
shotgun metagenome;mgm4501152.3
shotgun metagenome;mgm4501149.3
shotgun metagenome;mgm4501147.3
amplicon metagenome;mgm4485302.3
amplicon metagenome;mgm4481576.3
amplicon metagenome;mgm4481564.3
amplicon metagenome;mgm4481559.3
shotgun metagenome;mgm4473347.3
amplicon metagenome;mgm4456592.3
amplicon metagenome;mgm4456585.3
amplicon metagenome;mgm4731720.3
shotgun metagenome;mgm4665885.3
amplicon metagenome;mgm4602370.3
amplicon metagenome;mgm4602358.3
amplicon metagenome;mgm4602355.3
amplicon metagenome;mgm4602338.3
amplicon metagenome;mgm4602320.3
amplicon metagenome;mgm4602314.3
amplicon metagenome;mgm4602316.3
amplicon metagenome;mgm4602308.3
shotgun metagenome;mgm4570255.3
shotgun metagenome;mgm4570257.3
amplicon metagenome;mgm4547662.3
amplicon metagenome;mgm4547653.3
amplicon metagenome;mgm4547650.3
amplicon metagenome;mgm4547634.3
shotgun metagenome;mgm4547393.3
shotgun metagenome;mgm4547381.3
shotgun metagenome;mgm4547376.3
metatranscriptome;mgm4529398.3
amplicon metagenome;mgm4527689.3
shotgun metagenome;mgm4525678.3
shotgun metagenome;mgm4525670.3
amplicon metagenome;mgm4525665.3
shotgun metagenome;mgm4525662.3
shotgun metagenome;mgm4525654.3
amplicon metagenome;mgm4525651.3
shotgun metagenome;mgm4525644.3
shotgun metagenome;mgm4525626.3
shotgun metagenome;mgm4525592.3
amplicon metagenome;mgm4525587.3
shotgun metagenome;mgm4525582.3
shotgun metagenome;mgm4525574.3
shotgun metagenome;mgm4525576.3
amplicon metagenome;mgm4525567.3
shotgun metagenome;mgm4525550.3
shotgun metagenome;mgm4525536.3
shotgun metagenome;mgm4525534.3
amplicon metagenome;mgm4525509.3
shotgun metagenome;mgm4517895.3
amplicon metagenome;mgm4517894.3
amplicon metagenome;mgm4514819.3
amplicon metagenome;mgm4514809.3
amplicon metagenome;mgm4514787.3
amplicon metagenome;mgm4514771.3
amplicon metagenome;mgm4514765.3
amplicon metagenome;mgm4514764.3
amplicon metagenome;mgm4514760.3
amplicon metagenome;mgm4514758.3
amplicon metagenome;mgm4514740.3
amplicon metagenome;mgm4514743.3
amplicon metagenome;mgm4514742.3
amplicon metagenome;mgm4514739.3
shotgun metagenome;mgm4501143.3
shotgun metagenome;mgm4501151.3
shotgun metagenome;mgm4501144.3
shotgun metagenome;mgm4501148.3
shotgun metagenome;mgm4501150.3
amplicon metagenome;mgm4481568.3
amplicon metagenome;mgm4481528.3
amplicon metagenome;mgm4481515.3
shotgun metagenome;mgm4473389.3
amplicon metagenome;mgm4456576.3
metatranscriptome;mgm4750051.3
metatranscriptome;mgm4750041.3
shotgun metagenome;mgm4698299.3
amplicon metagenome;mgm4602365.3
amplicon metagenome;mgm4602361.3
amplicon metagenome;mgm4602350.3
amplicon metagenome;mgm4602337.3
amplicon metagenome;mgm4602334.3
amplicon metagenome;mgm4602318.3
amplicon metagenome;mgm4602302.3
shotgun metagenome;mgm4570252.3
shotgun metagenome;mgm4570242.3
amplicon metagenome;mgm4547677.3
shotgun metagenome;mgm4547399.3
shotgun metagenome;mgm4547392.3
shotgun metagenome;mgm4547387.3
shotgun metagenome;mgm4547379.3
shotgun metagenome;mgm4547371.3
shotgun metagenome;mgm4547367.3
shotgun metagenome;mgm4547363.3
shotgun metagenome;mgm4547362.3
shotgun metagenome;mgm4525680.3
amplicon metagenome;mgm4525675.3
amplicon metagenome;mgm4525657.3
shotgun metagenome;mgm4525646.3
shotgun metagenome;mgm4525630.3
amplicon metagenome;mgm4525623.3
amplicon metagenome;mgm4525615.3
amplicon metagenome;mgm4525605.3
shotgun metagenome;mgm4525590.3
shotgun metagenome;mgm4525584.3
amplicon metagenome;mgm4525561.3
amplicon metagenome;mgm4525537.3
amplicon metagenome;mgm4525539.3
amplicon metagenome;mgm4514814.3
amplicon metagenome;mgm4514807.3
amplicon metagenome;mgm4514808.3
amplicon metagenome;mgm4514802.3
amplicon metagenome;mgm4514785.3
amplicon metagenome;mgm4514777.3
amplicon metagenome;mgm4514773.3
amplicon metagenome;mgm4514770.3
amplicon metagenome;mgm4514757.3
amplicon metagenome;mgm4514752.3
amplicon metagenome;mgm4514744.3
amplicon metagenome;mgm4514730.3
shotgun metagenome;mgm4513849.3
shotgun metagenome;mgm4501156.3
amplicon metagenome;mgm4485197.3
amplicon metagenome;mgm4481572.3
shotgun metagenome;mgm4473411.3
shotgun metagenome;mgm4473372.3
amplicon metagenome;mgm4456580.3
amplicon metagenome;mgm4456617.3
amplicon metagenome;mgm4456631.3
metatranscriptome;mgm4750190.3
shotgun metagenome;mgm4666069.3
shotgun metagenome;mgm4665892.3
amplicon metagenome;mgm4602371.3
amplicon metagenome;mgm4602357.3
amplicon metagenome;mgm4602356.3
amplicon metagenome;mgm4602346.3
amplicon metagenome;mgm4602333.3
amplicon metagenome;mgm4602326.3
amplicon metagenome;mgm4602309.3
amplicon metagenome;mgm4602311.3
shotgun metagenome;mgm4570250.3
amplicon metagenome;mgm4547672.3
amplicon metagenome;mgm4547646.3
amplicon metagenome;mgm4547644.3
amplicon metagenome;mgm4547641.3
amplicon metagenome;mgm4547637.3
amplicon metagenome;mgm4547630.3
shotgun metagenome;mgm4547402.3
shotgun metagenome;mgm4547389.3
shotgun metagenome;mgm4547384.3
shotgun metagenome;mgm4547370.3
shotgun metagenome;mgm4547360.3
shotgun metagenome;mgm4525682.3
shotgun metagenome;mgm4525674.3
shotgun metagenome;mgm4525658.3
amplicon metagenome;mgm4525633.3
amplicon metagenome;mgm4525603.3
shotgun metagenome;mgm4525602.3
shotgun metagenome;mgm4525604.3
amplicon metagenome;mgm4525597.3
shotgun metagenome;mgm4525588.3
shotgun metagenome;mgm4525586.3
amplicon metagenome;mgm4525551.3
shotgun metagenome;mgm4525548.3
amplicon metagenome;mgm4525541.3
shotgun metagenome;mgm4525540.3
amplicon metagenome;mgm4525525.3
shotgun metagenome;mgm4525518.3
shotgun metagenome;mgm4525522.3
shotgun metagenome;mgm4525516.3
shotgun metagenome;mgm4525514.3
amplicon metagenome;mgm4517898.3
amplicon metagenome;mgm4517884.3
amplicon metagenome;mgm4514824.3
amplicon metagenome;mgm4514813.3
amplicon metagenome;mgm4514792.3
amplicon metagenome;mgm4514789.3
amplicon metagenome;mgm4514774.3
amplicon metagenome;mgm4514763.3
amplicon metagenome;mgm4514756.3
amplicon metagenome;mgm4514734.3
shotgun metagenome;mgm4513852.3
shotgun metagenome;mgm4501157.3
shotgun metagenome;mgm4501146.3
amplicon metagenome;mgm4499916.3
shotgun metagenome;mgm4472804.3
amplicon metagenome;mgm4456584.3
amplicon metagenome;mgm4456634.3
amplicon metagenome;mgm4456621.3
metatranscriptome;mgm4750040.3
shotgun metagenome;mgm4667085.3
